id,x_pos,x_vel,y_pos,y_vel,mass
0,1.74668,-0.420658,-19.0253,0.597319,4.99E-05
1,1.70056,-0.305732,-19.0035,0.958783,4.99E-05
2,1.77301,-0.226915,-19.013,0.402915,4.99E-05
3,1.81599,-0.456958,-19.0531,0.639559,4.99E-05
4,1.76612,-0.695444,-19.0548,0.931998,4.99E-05
5,1.76562,-0.483433,-19.0317,0.362284,4.99E-05
